sequence,condition,method,keypoints_img1,keypoints_img2,good_matches,ransac_inliers,matching_score,mean_reprojection_error_px,joint_confidence_score
i_ajuntament,clean,SIFT + RANSAC,840,780,348,284,0.8160919540229885,0.6718658804893494,169.8700854621629
i_ajuntament,low_light,SIFT + RANSAC,840,299,167,114,0.6826347305389222,0.6422893404960632,69.4152955809636
i_ajuntament,motion_blur,SIFT + RANSAC,840,141,117,54,0.46153846153846156,1.0905346870422363,25.830712274093447
i_ajuntament,defocus_blur,SIFT + RANSAC,840,151,110,69,0.6272727272727273,1.2765352725982666,30.309216303619394
i_bologna,clean,SIFT + RANSAC,264,573,97,94,0.9690721649484536,0.337042897939682,70.30440096189092
i_bologna,low_light,SIFT + RANSAC,264,163,40,33,0.825,0.4775158166885376,22.33478628605195
i_bologna,motion_blur,SIFT + RANSAC,264,66,13,5,0.38461538461538464,0.0,5.0
i_bologna,defocus_blur,SIFT + RANSAC,264,63,19,8,0.42105263157894735,0.7530515789985657,4.563470975891089
v_weapons,clean,SIFT + RANSAC,4356,4119,2072,1958,0.944980694980695,0.6334116458892822,1198.718035914334
v_weapons,low_light,SIFT + RANSAC,4356,2307,1326,1182,0.8914027149321267,0.6339492797851562,723.4006677094764
v_weapons,motion_blur,SIFT + RANSAC,4356,854,353,192,0.5439093484419264,1.487930178642273,77.17258371968433
v_weapons,defocus_blur,SIFT + RANSAC,4357,859,430,316,0.7348837209302326,1.16094172000885,146.23254161556278
